Id,Object,Category,SpecType,Rband,Distance,DiskMajorAxis,Inclination,RA,DEC,SystemAge,StellarMass,References
124,HD 30447,Debris,F3V,7.5,80,5,88,04 46 49.53,-26 18 08.8,,,
125,HD 32297,Debris,A0,8.1,113,13.8,90,05 02 27.44,+07 27 39.7,,,
126,HD 34282,HAe,A0.5,10.1,400,2.08,56,05 16 00.47,-09 48 35.3,,,
127,HD 35650,Debris,K6V,8.29,18,5.6,89,05 24 30.17,-38 58 10.8,,,
128,HD 35841,Debris,F3V,8.5,103,4.3,85,05 26 36.59,-22 29 23.7,,,
129,HD 36546,Debris,B8,6.93,114,2,75,05 33 30.76,+24 37 43.7,,,
130,HD 377,Debris,G2V,7.1,39,4.4,85,00 08 25.75,+06 37 00.5,,,
131,HD 38206,Debris,A0V,5.82,69.2,5,60,05 43 21.67,-18 33 26.9,,,
132,HD 38858,Debris,G2,5.4,15.2,15,44,05 48 34.94,-04 05 40.7,,,
133,HD 50571,Debris,F5V,7.26,33.6,15.47,68.2,06 50 01.02,-60 14 56.9,,,
134,HD 53143,Debris,K1,6.9,18.4,12,45,06 59 59.66,-61 20 10.3,,,
135,HD 61005,Debris,G8,8.3,34.6,19,85,07 35 47.46,-32 12 14.0,,,
136,HD 70313,Debris,A3V,5.63,51.4,5.8,76,08 23 48.50,+53 13 11.0,,,
137,HD 71155,Debris,A0 V,3.9,37.5,0.1,30,08 25 39.63,-03 54 23.1,,,
138,HD 71722,Debris,A2IV,7.95,71.1,3.9,78,14 56 54.47,-35 41 43.7,,,
139,HD 74873,Debris,A1Vp,7.2,61,3.4,27,08 46 56.02,+12 06 35.8,,,
140,HD 92945,Debris,K1,7.2,21.6,10.2,63,10 43 28.27,-29 03 51.4,,,
141,HD 95086,Debris,A8III,7.5,90.4,12.01,23.3,10 57 03.02,-68 40 02.5,,,
142,HD 97048,HAe,A0,8.5,180,3.6,43,11 08 03.32,-77 39 17.5,,,
143,HD 98800B,Trans,K5,8.5,50,0.25,67,11 22 05.24,-24 46 39.1,,,
144,Hen 3-600A,TT,M4,,50,0.4,36,11 10 27.84,-37 31 51.7,,,
145,HH 212,YSO,,-,400,0.38,90,05 43 51.41,-01 02 53.1,,,
146,HH 30,TT,K7,16.4,140,3,83,04 31 37.47,+18 12 24.8,,,
147,HIP 67497,Debris,F0,8.69,107.4,1.09,80,13 49 54.50,-50 14 23.9,,,
148,HIP 79977,Debris,F2,8.7,123,4,84,16 19 29.24,-21 24 13.3,,,
149,HK Tau B,TT,M1,14,140,1.5,84,04 31 50.57,+24 24 15.0,,,
150,HL Tau,TT,K5,11.4,140,1.39,47,04 31 38.47,+18 13 58.1,,,
151,HOPS 136,YSO,,,440,2,90,05 38 46.54,-07 05 47.5,,,
152,HR 4796A,Debris,A0,5.8,67,2.1,76,12 36 01.07,-39 52 10.0,,,
